date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-03-23,35,20,0.0,12.5,7,0,05:42 AM,05:50 PM,05:59 AM,06:08 PM,17,28,28,27,7,26,61,0.2,1015,35,10,219,5,El%20Salvador
2020-03-24,35,19,0.0,12.5,7,0,06:18 AM,06:35 PM,05:58 AM,06:08 PM,17,27,27,26,8,15,61,0.0,1014,35,10,229,5,El%20Salvador
2020-03-25,36,20,0.0,12.5,8,3,06:54 AM,07:21 PM,05:57 AM,06:08 PM,18,29,29,28,6,24,65,0.0,1012,36,10,133,5,El%20Salvador
2020-03-26,35,21,0.0,12.5,6,11,07:30 AM,08:07 PM,05:57 AM,06:08 PM,19,29,29,27,6,31,68,0.1,1011,35,10,231,5,El%20Salvador
2020-03-27,35,20,0.0,12.5,6,18,08:08 AM,08:55 PM,05:56 AM,06:08 PM,19,29,29,27,6,34,68,0.2,1010,35,10,138,5,El%20Salvador
2020-03-28,35,21,0.0,12.5,7,25,08:47 AM,09:44 PM,05:55 AM,06:08 PM,19,29,29,27,7,26,69,0.0,1011,35,10,213,5,El%20Salvador
2020-03-29,31,21,0.0,11.8,6,32,09:30 AM,10:35 PM,05:55 AM,06:08 PM,20,28,28,26,6,47,71,2.6,1011,31,10,171,5,El%20Salvador
2020-03-30,34,21,0.0,12.5,6,40,10:16 AM,11:29 PM,05:54 AM,06:08 PM,18,29,29,28,6,41,63,2.3,1012,34,10,177,4,El%20Salvador
2020-03-31,36,21,0.0,12.6,7,44,11:07 AM,No moonset,05:53 AM,06:09 PM,19,29,29,27,7,14,65,0.0,1011,36,10,211,5,El%20Salvador
2020-04-01,33,21,0.0,9.2,6,56,12:02 PM,12:24 AM,05:53 AM,06:09 PM,20,30,30,28,6,70,71,3.4,1011,33,10,195,5,El%20Salvador
