date_time,Peru_maxtempC,Peru_mintempC,Peru_totalSnow_cm,Peru_sunHour,Peru_uvIndex,Peru_moon_illumination,Peru_moonrise,Peru_moonset,Peru_sunrise,Peru_sunset,Peru_DewPointC,Peru_FeelsLikeC,Peru_HeatIndexC,Peru_WindChillC,Peru_WindGustKmph,Peru_cloudcover,Peru_humidity,Peru_precipMM,Peru_pressure,Peru_tempC,Peru_visibility,Peru_winddirDegree,Peru_windspeedKmph,Peru_location
2020-05-01,22,19,0.0,8.7,6,58,01:33 PM,12:30 AM,06:15 AM,05:55 PM,17,20,21,20,13,35,80,0.0,1017,22,10,189,10,Peru
2020-05-02,22,19,0.0,8.7,5,65,02:22 PM,01:29 AM,06:15 AM,05:55 PM,17,21,22,21,15,47,79,0.0,1017,22,10,183,11,Peru
2020-05-03,22,15,0.0,8.7,6,72,03:10 PM,02:26 AM,06:15 AM,05:55 PM,16,19,20,19,15,48,81,0.0,1016,22,10,192,11,Peru
2020-05-04,22,18,0.0,8.7,5,80,03:57 PM,03:25 AM,06:15 AM,05:54 PM,16,19,20,19,16,38,81,0.0,1015,22,10,186,12,Peru
2020-05-05,22,18,0.0,7.2,5,87,04:44 PM,04:22 AM,06:16 AM,05:54 PM,17,20,20,20,12,41,83,0.0,1015,22,10,195,9,Peru
2020-05-06,21,16,0.0,8.7,6,94,05:33 PM,05:21 AM,06:16 AM,05:54 PM,16,19,20,19,11,37,81,0.0,1015,21,10,193,9,Peru
2020-05-07,22,17,0.0,8.7,5,100,06:23 PM,06:21 AM,06:16 AM,05:53 PM,16,20,21,20,14,29,77,0.1,1015,22,10,196,10,Peru
2020-05-08,22,19,0.0,8.7,6,100,07:18 PM,07:23 AM,06:16 AM,05:53 PM,16,20,20,20,14,10,78,0.0,1016,22,10,181,11,Peru
2020-05-09,22,17,0.0,8.7,5,84,08:13 PM,08:25 AM,06:16 AM,05:53 PM,16,19,20,19,17,37,80,0.0,1016,22,10,186,12,Peru
2020-05-10,21,15,0.0,8.7,4,77,09:11 PM,09:26 AM,06:17 AM,05:52 PM,15,18,18,18,16,46,82,0.0,1016,21,10,187,12,Peru
2020-05-11,21,17,0.0,8.7,4,70,10:08 PM,10:23 AM,06:17 AM,05:52 PM,15,19,19,19,15,35,80,0.0,1017,21,10,187,11,Peru
2020-05-12,21,18,0.0,8.7,4,62,11:03 PM,11:17 AM,06:17 AM,05:52 PM,16,19,20,19,14,35,82,0.0,1018,21,10,183,12,Peru
2020-05-13,20,18,0.0,8.7,4,55,11:56 PM,12:06 PM,06:17 AM,05:52 PM,16,19,19,19,15,56,83,0.0,1017,20,10,182,13,Peru
2020-05-14,21,18,0.0,8.7,5,48,No moonrise,12:50 PM,06:17 AM,05:52 PM,16,19,19,19,16,36,83,0.0,1016,21,10,186,12,Peru
2020-05-15,20,17,0.0,8.7,4,40,12:45 AM,01:31 PM,06:18 AM,05:51 PM,15,18,18,18,13,50,81,0.0,1016,20,10,197,10,Peru
2020-05-16,21,17,0.0,8.7,5,33,01:33 AM,02:09 PM,06:18 AM,05:51 PM,15,19,19,19,13,27,79,0.0,1015,21,10,193,10,Peru
2020-05-17,21,17,0.0,8.7,5,26,02:18 AM,02:46 PM,06:18 AM,05:51 PM,15,19,19,19,15,16,79,0.0,1016,21,10,183,11,Peru
2020-05-18,20,16,0.0,8.7,4,19,03:04 AM,03:23 PM,06:18 AM,05:51 PM,14,18,18,18,15,32,81,0.0,1017,20,10,184,11,Peru
2020-05-19,19,13,0.0,8.7,5,11,03:49 AM,03:59 PM,06:19 AM,05:51 PM,14,17,17,17,15,30,81,0.0,1017,19,10,185,10,Peru
2020-05-20,19,15,0.0,8.7,5,4,04:34 AM,04:36 PM,06:19 AM,05:51 PM,13,17,17,17,14,25,78,0.0,1017,19,10,191,10,Peru
2020-05-21,19,13,0.0,8.7,5,0,05:21 AM,05:17 PM,06:19 AM,05:50 PM,14,17,17,17,12,21,79,0.0,1017,19,10,201,9,Peru
2020-05-22,20,17,0.0,8.7,5,0,06:10 AM,06:00 PM,06:19 AM,05:50 PM,14,18,18,18,9,32,80,0.0,1016,20,10,234,7,Peru
2020-05-23,20,17,0.0,8.7,5,3,07:02 AM,06:46 PM,06:20 AM,05:50 PM,15,18,18,18,10,40,81,0.0,1017,20,10,215,8,Peru
2020-05-24,20,16,0.0,8.7,4,10,07:56 AM,07:37 PM,06:20 AM,05:50 PM,15,18,18,18,11,33,81,0.0,1016,20,10,201,9,Peru
