date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-04-25,21,7,0.0,14.5,5,15,06:22 AM,09:31 PM,04:58 AM,07:03 PM,6,14,16,14,13,17,63,0.0,1009,21,10,245,9,Slovenia
2020-04-26,15,10,0.0,9.1,3,22,06:53 AM,10:34 PM,04:56 AM,07:04 PM,9,12,13,12,5,71,85,3.7,1010,15,8,135,4,Slovenia
2020-04-27,16,7,0.0,12.3,3,30,07:32 AM,11:35 PM,04:55 AM,07:05 PM,8,13,13,13,9,48,78,0.1,1011,16,7,254,6,Slovenia
2020-04-28,19,8,0.0,11.3,4,37,08:18 AM,No moonset,04:53 AM,07:07 PM,8,13,14,13,17,49,74,0.3,1009,19,8,244,12,Slovenia
2020-04-29,14,10,0.0,9.1,3,45,09:15 AM,12:31 AM,04:51 AM,07:08 PM,10,12,12,12,10,80,89,11.5,1007,14,6,267,6,Slovenia
2020-04-30,19,7,0.0,10.2,3,52,10:19 AM,01:20 AM,04:50 AM,07:09 PM,9,12,12,12,7,74,83,11.6,1010,19,8,223,4,Slovenia
2020-05-01,16,10,0.0,9.1,3,58,11:31 AM,02:01 AM,04:48 AM,07:11 PM,10,13,12,13,6,91,85,14.5,1009,16,8,206,4,Slovenia
2020-05-02,15,9,0.0,11.3,3,65,12:46 PM,02:36 AM,04:47 AM,07:12 PM,10,12,12,12,8,66,89,15.4,1008,15,7,160,5,Slovenia
2020-05-03,18,9,0.0,12.4,3,72,02:04 PM,03:06 AM,04:45 AM,07:13 PM,7,13,13,13,5,45,75,7.0,1016,18,9,154,4,Slovenia
2020-05-04,19,5,0.0,14.5,5,80,03:24 PM,03:34 AM,04:44 AM,07:15 PM,5,13,14,13,11,14,64,0.0,1018,19,10,255,8,Slovenia
2020-05-05,19,7,0.0,12.4,4,87,04:44 PM,04:00 AM,04:42 AM,07:16 PM,7,13,13,13,7,43,70,0.4,1016,19,10,152,5,Slovenia
2020-05-06,15,7,0.0,12.4,3,94,06:05 PM,04:26 AM,04:41 AM,07:17 PM,6,9,10,9,9,55,79,8.2,1018,15,9,106,8,Slovenia
2020-05-07,22,5,0.0,14.5,5,100,07:27 PM,04:55 AM,04:39 AM,07:18 PM,6,14,14,14,5,7,66,0.0,1021,22,10,251,3,Slovenia
2020-05-08,22,8,0.0,13.5,4,100,08:46 PM,05:27 AM,04:38 AM,07:20 PM,7,15,16,15,10,28,68,0.0,1020,22,10,249,6,Slovenia
2020-05-09,22,9,0.0,14.5,4,84,10:01 PM,06:05 AM,04:37 AM,07:21 PM,7,15,16,15,14,29,64,0.0,1016,22,10,251,9,Slovenia
2020-05-10,21,9,0.0,13.5,4,77,11:07 PM,06:51 AM,04:35 AM,07:22 PM,8,14,15,14,17,27,70,0.0,1011,21,9,243,11,Slovenia
2020-05-11,15,10,0.0,9.3,3,70,No moonrise,07:46 AM,04:34 AM,07:23 PM,10,12,12,12,19,66,88,7.3,1005,15,7,239,11,Slovenia
2020-05-12,10,-4,0.0,9.3,1,62,12:02 AM,08:46 AM,04:33 AM,07:25 PM,5,3,5,3,13,91,96,23.6,1013,10,7,139,8,Slovenia
2020-05-13,19,1,0.0,9.3,3,55,12:47 AM,09:50 AM,04:31 AM,07:26 PM,8,11,11,11,7,84,85,9.4,1013,19,9,172,5,Slovenia
2020-05-14,22,11,0.0,9.4,4,48,01:23 AM,10:55 AM,04:30 AM,07:27 PM,12,16,17,16,13,83,80,1.5,1008,22,8,243,9,Slovenia
2020-05-15,19,11,0.0,9.4,4,40,01:52 AM,12:00 PM,04:29 AM,07:28 PM,11,14,14,14,18,88,83,6.3,1010,19,8,167,11,Slovenia
2020-05-16,14,9,0.0,9.4,3,33,02:16 AM,01:03 PM,04:28 AM,07:30 PM,8,10,11,10,8,81,85,10.7,1021,14,8,75,6,Slovenia
2020-05-17,14,8,0.0,13.5,3,26,02:38 AM,02:05 PM,04:27 AM,07:31 PM,9,12,12,12,5,40,85,0.0,1021,14,9,122,4,Slovenia
2020-05-18,21,13,0.0,14.5,4,19,02:58 AM,03:07 PM,04:26 AM,07:32 PM,10,17,18,17,11,44,70,0.0,1021,21,10,85,8,Slovenia
