date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-04-13,39,24,0.0,12.7,8,53,11:49 PM,10:16 AM,05:51 AM,06:20 PM,19,33,33,31,18,16,56,0.0,1008,39,10,205,13,Myanmar
2020-04-14,38,24,0.0,12.7,8,46,No moonrise,11:12 AM,05:51 AM,06:21 PM,18,32,32,31,18,9,55,0.0,1010,38,10,200,13,Myanmar
2020-04-15,39,25,0.0,12.7,8,38,12:43 AM,12:07 PM,05:50 AM,06:21 PM,18,34,34,32,15,8,51,0.0,1010,39,10,220,11,Myanmar
2020-04-16,39,26,0.0,12.7,8,30,01:32 AM,01:00 PM,05:49 AM,06:21 PM,18,34,34,32,18,4,52,0.0,1009,39,10,216,13,Myanmar
2020-04-17,40,23,0.0,12.7,8,23,02:16 AM,01:52 PM,05:49 AM,06:21 PM,18,33,33,31,18,7,54,0.0,1009,40,10,225,13,Myanmar
2020-04-18,40,25,0.0,12.7,8,15,02:57 AM,02:42 PM,05:48 AM,06:21 PM,17,34,34,32,18,2,51,0.0,1010,40,10,221,13,Myanmar
2020-04-19,40,23,0.0,12.8,8,8,03:35 AM,03:30 PM,05:47 AM,06:22 PM,18,33,33,31,19,3,55,0.0,1009,40,10,219,14,Myanmar
2020-04-20,40,25,0.0,12.8,9,0,04:11 AM,04:17 PM,05:47 AM,06:22 PM,19,34,34,32,19,5,54,0.0,1009,40,10,200,14,Myanmar
2020-04-21,40,26,0.0,12.8,9,0,04:45 AM,05:04 PM,05:46 AM,06:22 PM,19,36,36,33,19,9,53,0.0,1009,40,10,221,14,Myanmar
2020-04-22,41,25,0.0,12.8,9,0,05:20 AM,05:51 PM,05:45 AM,06:22 PM,19,35,35,33,20,8,54,0.0,1009,41,10,222,15,Myanmar
