date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-04-12,21,15,0.0,13.1,5,61,No moonrise,08:39 AM,05:34 AM,06:48 PM,8,17,18,17,11,7,53,0.0,1021,21,10,141,8,Italy
2020-04-13,20,14,0.0,13.2,5,53,12:13 AM,09:29 AM,05:33 AM,06:49 PM,7,16,16,16,14,26,53,0.0,1018,20,10,156,11,Italy
2020-04-14,20,14,0.0,9.5,4,46,01:12 AM,10:24 AM,05:31 AM,06:50 PM,7,17,16,17,7,63,55,0.8,1014,20,10,157,5,Italy
2020-04-15,19,10,0.0,13.2,5,38,02:02 AM,11:24 AM,05:30 AM,06:51 PM,6,14,15,14,13,8,57,0.0,1021,19,10,181,10,Italy
2020-04-16,19,12,0.0,13.2,5,30,02:43 AM,12:25 PM,05:28 AM,06:52 PM,7,15,15,15,7,6,60,0.0,1023,19,10,138,6,Italy
2020-04-17,20,13,0.0,13.3,5,23,03:18 AM,01:26 PM,05:26 AM,06:54 PM,9,16,16,16,9,9,64,0.0,1020,20,10,175,7,Italy
2020-04-18,22,13,0.0,13.3,5,15,03:47 AM,02:26 PM,05:25 AM,06:55 PM,11,17,17,17,7,30,71,0.0,1019,22,10,171,6,Italy
2020-04-19,22,15,0.0,13.3,4,8,04:13 AM,03:26 PM,05:23 AM,06:56 PM,11,18,19,18,8,43,66,0.0,1015,22,10,166,6,Italy
2020-04-20,17,16,0.0,8.3,4,0,04:37 AM,04:25 PM,05:22 AM,06:57 PM,13,17,17,17,8,95,82,16.3,1008,17,9,64,5,Italy
2020-04-21,20,15,0.0,10.8,4,0,05:00 AM,05:24 PM,05:20 AM,06:58 PM,12,17,17,17,13,61,75,1.5,1004,20,8,141,9,Italy
2020-04-22,15,14,0.0,8.4,3,0,05:23 AM,06:23 PM,05:19 AM,06:59 PM,12,14,14,14,16,92,83,14.1,1008,15,6,108,11,Italy
2020-04-23,21,14,0.0,9.8,4,0,05:46 AM,07:24 PM,05:17 AM,07:00 PM,11,17,17,17,11,69,68,4.3,1015,21,8,163,8,Italy
2020-04-24,20,14,0.0,13.9,5,7,06:12 AM,08:24 PM,05:16 AM,07:01 PM,10,17,17,17,8,19,65,0.0,1015,20,10,187,7,Italy
2020-04-25,20,15,0.0,13.9,5,15,06:41 AM,09:27 PM,05:14 AM,07:03 PM,9,17,17,17,7,2,59,0.0,1013,20,10,167,6,Italy
2020-04-26,21,14,0.0,13.9,5,22,07:15 AM,10:28 PM,05:13 AM,07:04 PM,9,17,17,17,8,2,60,0.0,1011,21,10,172,7,Italy
2020-04-27,21,14,0.0,13.9,5,30,07:55 AM,11:28 PM,05:11 AM,07:05 PM,10,17,18,17,8,18,66,0.0,1013,21,10,185,7,Italy
2020-04-28,21,14,0.0,11.0,4,37,08:43 AM,No moonset,05:10 AM,07:06 PM,12,17,18,17,14,59,71,3.5,1013,21,10,161,10,Italy
2020-04-29,19,15,0.0,11.0,4,45,09:39 AM,12:23 AM,05:09 AM,07:07 PM,11,17,17,17,18,54,70,3.4,1012,19,10,186,13,Italy
