date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-04-12,30,23,0.0,12.6,7,61,11:06 PM,09:58 AM,05:57 AM,06:17 PM,20,28,28,26,25,27,72,0.0,1015,30,10,74,17,Trinidad%20and%20Tobago
2020-04-13,28,23,0.0,11.9,6,53,No moonrise,10:53 AM,05:56 AM,06:17 PM,20,28,28,26,21,50,74,0.5,1015,28,10,62,13,Trinidad%20and%20Tobago
2020-04-14,28,23,0.0,10.5,6,46,12:02 AM,11:49 AM,05:56 AM,06:17 PM,21,27,27,25,19,44,77,1.2,1013,28,10,58,13,Trinidad%20and%20Tobago
2020-04-15,28,23,0.0,10.5,6,38,12:54 AM,12:42 PM,05:55 AM,06:17 PM,21,28,28,25,20,45,75,3.3,1012,28,10,69,12,Trinidad%20and%20Tobago
2020-04-16,29,23,0.0,12.6,7,30,01:43 AM,01:34 PM,05:55 AM,06:17 PM,20,28,28,26,21,11,73,0.0,1014,29,10,66,14,Trinidad%20and%20Tobago
2020-04-17,28,23,0.0,9.2,6,23,02:27 AM,02:22 PM,05:54 AM,06:17 PM,21,28,28,25,22,58,79,6.3,1015,28,9,71,14,Trinidad%20and%20Tobago
2020-04-18,30,23,0.0,12.6,7,15,03:09 AM,03:09 PM,05:54 AM,06:17 PM,20,28,28,26,24,13,72,0.0,1014,30,10,73,16,Trinidad%20and%20Tobago
2020-04-19,29,23,0.0,11.9,6,8,03:48 AM,03:55 PM,05:53 AM,06:17 PM,21,28,28,26,26,38,76,1.0,1014,29,10,69,17,Trinidad%20and%20Tobago
2020-04-20,28,24,0.0,10.5,6,0,04:25 AM,04:39 PM,05:53 AM,06:17 PM,21,28,28,26,23,58,76,3.0,1013,28,10,68,15,Trinidad%20and%20Tobago
2020-04-21,30,24,0.0,10.5,6,0,05:02 AM,05:24 PM,05:52 AM,06:17 PM,22,29,29,26,23,48,76,1.4,1014,30,10,90,15,Trinidad%20and%20Tobago
2020-04-22,28,24,0.0,10.5,6,0,05:39 AM,06:08 PM,05:52 AM,06:17 PM,22,28,28,26,22,55,79,0.5,1013,28,10,86,15,Trinidad%20and%20Tobago
2020-04-23,28,23,0.0,11.9,6,0,06:16 AM,06:54 PM,05:51 AM,06:17 PM,21,28,28,26,21,44,77,2.0,1013,28,10,73,14,Trinidad%20and%20Tobago
2020-04-24,30,24,0.0,12.7,6,7,06:56 AM,07:43 PM,05:51 AM,06:17 PM,21,29,29,26,29,21,73,0.2,1013,30,10,78,19,Trinidad%20and%20Tobago
