date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-10-09,33,32,0.0,11.6,8,45,10:34 PM,11:54 AM,05:34 AM,05:16 PM,21,36,36,32,35,0,53,0.0,1011,33,10,267,24,Bahrain
2020-10-10,31,29,0.0,11.6,8,38,11:32 PM,12:47 PM,05:35 AM,05:15 PM,18,32,32,31,33,0,47,0.0,1011,31,10,288,23,Bahrain
2020-10-11,30,22,0.0,11.6,7,31,No moonrise,01:38 PM,05:35 AM,05:14 PM,15,29,29,28,18,0,41,0.0,1010,30,10,241,13,Bahrain
2020-10-12,31,26,0.0,11.6,7,23,12:32 AM,02:24 PM,05:36 AM,05:13 PM,18,31,31,29,19,0,50,0.0,1010,31,10,211,14,Bahrain
2020-10-13,31,24,0.0,11.6,7,16,01:36 AM,03:08 PM,05:36 AM,05:12 PM,20,31,31,29,18,0,55,0.0,1010,31,10,137,13,Bahrain
2020-10-14,31,29,0.0,11.6,7,9,02:41 AM,03:50 PM,05:37 AM,05:11 PM,20,32,32,30,17,0,55,0.0,1010,31,10,176,12,Bahrain
2020-10-15,30,29,0.0,11.6,7,2,03:47 AM,04:29 PM,05:37 AM,05:10 PM,19,32,32,30,16,0,54,0.0,1011,30,10,121,12,Bahrain
2020-10-16,30,23,0.0,11.6,7,0,04:53 AM,05:09 PM,05:38 AM,05:09 PM,20,31,31,28,22,0,57,0.0,1011,30,10,142,15,Bahrain
2020-10-17,30,29,0.0,11.6,7,0,06:00 AM,05:51 PM,05:38 AM,05:08 PM,19,31,31,29,20,0,52,0.0,1011,30,10,222,14,Bahrain
2020-10-18,31,29,0.0,11.6,7,5,07:09 AM,06:35 PM,05:39 AM,05:07 PM,20,32,32,30,25,0,56,0.0,1012,31,10,344,17,Bahrain
2020-10-19,30,29,0.0,11.6,7,13,08:17 AM,07:23 PM,05:39 AM,05:06 PM,20,32,32,29,30,0,57,0.0,1012,30,10,295,21,Bahrain
2020-10-20,30,27,0.0,11.6,7,20,09:26 AM,08:15 PM,05:40 AM,05:05 PM,19,31,31,29,28,0,55,0.0,1011,30,10,243,20,Bahrain
2020-10-21,30,23,0.0,11.6,7,27,10:31 AM,09:11 PM,05:40 AM,05:04 PM,15,28,28,28,14,0,45,0.0,1012,30,10,206,10,Bahrain
2020-10-22,30,23,0.0,11.6,7,35,11:31 AM,10:10 PM,05:41 AM,05:03 PM,17,29,29,28,20,0,51,0.0,1012,30,10,246,14,Bahrain
2020-10-23,29,27,0.0,11.6,7,42,12:24 PM,11:09 PM,05:42 AM,05:02 PM,16,29,29,28,15,0,49,0.0,1011,29,10,205,11,Bahrain
2020-10-24,29,27,0.0,11.6,7,49,01:11 PM,No moonset,05:42 AM,05:02 PM,17,29,29,29,11,0,50,0.0,1012,29,10,178,8,Bahrain
2020-10-25,30,28,0.0,11.6,7,56,01:51 PM,12:07 AM,05:43 AM,05:01 PM,19,31,31,29,11,0,53,0.0,1014,30,10,109,8,Bahrain
2020-10-26,29,28,0.0,11.6,7,64,02:27 PM,01:03 AM,05:43 AM,05:00 PM,19,30,30,29,14,0,56,0.0,1014,29,10,157,10,Bahrain
2020-10-27,28,22,0.0,11.2,7,71,03:00 PM,01:57 AM,05:44 AM,04:59 PM,19,29,29,27,18,0,58,0.0,1013,28,10,247,13,Bahrain
2020-10-28,28,27,0.0,11.1,7,78,03:32 PM,02:49 AM,05:44 AM,04:58 PM,18,29,29,28,20,0,57,0.0,1014,28,10,331,14,Bahrain
2020-10-29,29,24,0.0,11.1,7,85,04:02 PM,03:40 AM,05:45 AM,04:58 PM,19,29,29,28,20,0,57,0.0,1015,29,10,140,14,Bahrain
2020-10-30,29,27,0.0,11.1,7,93,04:32 PM,04:30 AM,05:46 AM,04:57 PM,19,30,30,28,16,0,58,0.0,1015,29,10,213,11,Bahrain
2020-10-31,29,27,0.0,11.1,7,97,05:03 PM,05:22 AM,05:46 AM,04:56 PM,19,29,29,28,19,0,58,0.0,1015,29,10,169,13,Bahrain
2020-11-01,29,28,0.0,11.1,7,89,05:37 PM,06:13 AM,05:47 AM,04:55 PM,18,30,30,28,14,0,55,0.0,1016,29,10,136,10,Bahrain
2020-11-02,28,27,0.0,11.1,7,81,06:13 PM,07:06 AM,05:48 AM,04:55 PM,18,29,29,28,16,0,54,0.0,1017,28,10,166,11,Bahrain
2020-11-03,28,26,0.0,11.1,7,74,06:53 PM,08:01 AM,05:48 AM,04:54 PM,17,28,28,27,17,0,53,0.0,1017,28,10,161,12,Bahrain
2020-11-04,28,26,0.0,11.0,7,66,07:39 PM,08:55 AM,05:49 AM,04:53 PM,17,28,28,27,17,0,54,0.0,1014,28,10,169,12,Bahrain
2020-11-05,29,25,0.0,11.0,7,58,08:28 PM,09:50 AM,05:50 AM,04:53 PM,17,28,28,27,21,0,55,0.0,1012,29,10,168,15,Bahrain
2020-11-06,29,26,0.0,11.0,7,51,09:23 PM,10:42 AM,05:50 AM,04:52 PM,18,29,29,27,28,6,59,0.0,1014,29,10,129,19,Bahrain
2020-11-07,30,26,0.0,11.0,7,43,10:21 PM,11:33 AM,05:51 AM,04:52 PM,20,30,30,28,29,2,63,0.0,1015,30,10,124,20,Bahrain
